BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingDate,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
Devonshire Care Home,Hospitals/Childcare/Caring Premises,Rodway Road,Tilehurst,Reading,RG30 6TP,4,2025-12-16,Reading,5,5,10,,
Dhaulagiri Kitchen Cafe and Restaurant,Restaurant/Cafe/Canteen,63 Basingstoke Road,Reading,,RG2 0ER,3,2026-02-17,Reading,10,10,5,-0.9668595,51.439787
Dice Forge,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Dickory Docks Educational Day Nursery,Hospitals/Childcare/Caring Premises,Prospect  School Cockney Hill,Reading,,RG30 4EX,5,2025-06-10,Reading,5,5,5,,
Dilraj,Takeaway/sandwich shop,23 School Road,Tilehurst,Reading,RG31 5AR,4,2025-07-23,Reading,5,10,5,-1.03681,51.4604344
Dingtea,Other catering premises,19-23 King Street,Reading,,RG1 2HG,4,2025-12-04,Reading,5,10,5,-0.96969,51.45479
Dinner Parties t/a My'lkd,Other catering premises,,,,,5,2025-03-27,Reading,5,0,5,,
Dolphin's Caribbean Restaurant And Bar,Restaurant/Cafe/Canteen,59-60 St Marys Butts,Reading,,RG1 2LG,5,2025-05-13,Reading,5,5,5,-0.9744198,51.4548788
Domino's Pizza,Takeaway/sandwich shop,427 Oxford Road,Reading,,RG30 1HA,5,2024-06-29,Reading,0,5,0,-0.9968296,51.4568263
Domino's Pizza,Takeaway/sandwich shop,64 Christchurch Road,Reading,,RG2 7AZ,5,2025-11-13,Reading,0,0,0,-0.9558284,51.4427734
Domino's Pizza,Takeaway/sandwich shop,76 School Road,Tilehurst,Reading,RG31 5AW,5,2026-08-06,Reading,5,5,5,-1.0405053,51.4585674
Domino's Pizza,Takeaway/sandwich shop,95 Wokingham Road,Reading,,RG6 1LH,5,2025-09-02,Reading,0,0,0,-0.936703,51.4485092
Domino's Pizza at Milestone Way Precinct,Takeaway/sandwich shop,Milestone Way,Caversham,Reading,RG4 8XW,5,2025-09-11,Reading,0,0,0,,
Donnington Deli,Takeaway/sandwich shop,37 Erleigh Road,Reading,,RG1 5NB,4,2026-03-26,Reading,5,10,5,-0.9506312,51.4498035
Doreensdelight,Other catering premises,,,,,5,2019-09-08,Reading,0,0,5,,
Double Barrelled Brewery Ltd,Manufacturers/packers,Stadium Way,Tilehurst,Reading,RG30 6BX,5,2019-02-08,Reading,0,5,0,,
Doughnut Time,Takeaway/sandwich shop,Bridge Street,Reading,,RG1 2AG,5,2026-07-07,Reading,0,0,5,,
Doughza,Takeaway/sandwich shop,87 Northumberland Avenue,Reading,,RG2 7PT,5,2026-03-18,Reading,0,5,5,-0.9621933,51.4387297
Downshire House,Hospitals/Childcare/Caring Premises,9 Downshire Square,Reading,,RG1 6NJ,5,2025-07-17,Reading,5,5,5,-0.9881028,51.4505108
Dragon Garden,Takeaway/sandwich shop,471 Northumberland Avenue,Reading,,RG2 8LZ,5,2026-07-13,Reading,5,5,5,-0.9589647,51.4231538
Drinks 4 U,Retailers - other,36 Market Place,Reading,,RG1 2DE,5,2025-07-29,Reading,0,0,0,-0.9698111,51.4556656
Dr's Kitchen,Mobile caterer,Pakistan Community Centre Park Hall 373 London Road,Reading,,RG1 3PA,AwaitingInspection,,Reading,,,,-0.94194241,51.45478465
Dua Lounge,Other catering premises,355 Oxford Road,Reading,,RG30 1AY,1,2026-06-22,Reading,10,10,20,-0.9940796,51.4562093
Dubai Sweet Treats,Mobile caterer,Flat 43 West Fryerne Parkside Road,Reading,,RG30 2BY,AwaitingInspection,,Reading,,,,-1.0005814,51.4517688
Dudmans of Berkshire,Retailers - other,Unit 2 Manor Commercial Centre 12 Commercial Road,,Reading,RG2 0QJ,5,2025-08-18,Reading,0,0,5,-0.9742813,51.4276592
Dynasty,Restaurant/Cafe/Canteen,18 Richfield Avenue,Reading,,RG1 8PA,4,2025-08-02,Reading,5,10,5,-0.9830122,51.4639549
E P Collier Primary School,Other catering premises,Ross Road,Reading,,RG1 8DZ,5,2025-03-31,Reading,0,5,5,,
Earley Cafe,Restaurant/Cafe/Canteen,121 Wokingham Road,Reading,,RG6 1LH,5,2026-08-10,Reading,5,5,5,-0.9360087,51.4480443
Eastern Choice,Takeaway/sandwich shop,28 Coronation Square,Reading,,RG30 3QN,4,2025-11-18,Reading,5,10,5,-1.010546,51.442178
Easy Hotel,Hotel/bed & breakfast/guest house,132-138 Caversham Road,Reading,,RG1 8AY,5,2018-11-08,Reading,0,0,0,-0.9756306,51.4631712
Eat at St Patricks & St Patrick's Bar at University of Reading,Restaurant/Cafe/Canteen,20 Northcourt Avenue,Reading,Berkshire,RG2 7HB,5,2026-04-23,Reading,0,5,5,-0.9548444,51.4398692
Eat at Wantage Hall & Wantage Bar at University of Reading,School/college/university,Upper Redlands Road,Reading,,RG1 5JG,5,2024-11-19,Reading,5,5,5,-0.9544155,51.4450313
Eatnua,Restaurant/Cafe/Canteen,15 Gun Street,Reading,,RG1 2JR,5,2025-08-01,Reading,5,5,5,-0.9724788,51.4541515
EC Catering Partners,Other catering premises,Biscuit Way,Reading,,RG2 0FL,5,2026-04-25,Reading,5,5,5,-0.9842175,51.42194789
Eco Market,Retailers - other,117-119 Oxford Road,Reading,,RG1 7UH,5,2026-04-27,Reading,5,5,5,-0.9809585,51.4548551
Edmundson Electrical,Other catering premises,146 Cardiff Road,Reading,,RG1 8EW,5,2023-05-18,Reading,5,0,5,-0.988158,51.4623539
Elior @ The Wood Group,Restaurant/Cafe/Canteen,400 Longwater Avenue,Reading,,RG2 6GF,5,2026-08-17,Reading,0,5,0,-0.9941187,51.4231435
Elles Baguettes,Takeaway/sandwich shop,200 Oxford Road,Reading,,RG30 1AB,5,2026-04-18,Reading,5,5,5,-0.9907299,51.4560366
Elles Baguettes at Selco,Restaurant/Cafe/Canteen,Portman Road,Reading,,RG30 1EA,5,2024-05-10,Reading,5,5,5,,
Elmhurst Hotel,Hotel/bed & breakfast/guest house,51 Church Road,Earley,Reading,RG6 1EY,1,2026-02-18,Reading,15,10,20,-0.9295051,51.4443164
Elnette Parsons,Other catering premises,,,,,5,2025-07-25,Reading,0,0,5,,
Emmanuel Pantry,Other catering premises,Emmanuel Methodist Church 448 Oxford Road,Reading,,RG30 1EE,4,2026-02-18,Reading,5,5,10,-0.9996509,51.4581363
Emmas Cake House,Other catering premises,,,,,5,2025-07-18,Reading,0,0,5,,
Emmbrook Court Very Sheltered Housing,Restaurant/Cafe/Canteen,Emmbrook Court South Drive,Reading,,RG6 5TZ,5,2026-03-19,Reading,5,0,5,,
Emmer Green Kindergarten,Hospitals/Childcare/Caring Premises,85 Grove Road,Emmer Green,Reading,RG4 8LJ,5,2025-01-06,Reading,0,5,0,-0.9689273,51.4821396
Ephesus,Restaurant/Cafe/Canteen,19 Whitley Street,Reading,,RG2 0EG,4,2026-03-24,Reading,5,5,10,-0.9654987,51.4458804
Erleigh Road Pharmacy,Retailers - other,85-87 Erleigh Road,READING,Berkshire,RG1 5NN,Exempt,,Reading,,,,-0.947065,51.4490701
Escape Hunt,Pub/bar/nightclub,King Street,Reading,,RG1 2HG,5,2024-02-02,Reading,0,5,5,-0.9691883,51.45498625
Esmae’s Emporium,Other catering premises,,,,,5,2025-06-25,Reading,0,0,5,,
Esquires Coffee,Restaurant/Cafe/Canteen,8 Flagstaff Road,Reading,,RG2 6AX,5,2026-03-11,Reading,0,0,5,-0.9965173,51.4257296
Eugreeka!,Takeaway/sandwich shop,89 Wokingham Road,Reading,,RG6 1LH,2,2025-12-11,Reading,15,15,10,-0.9368448,51.4486004
Euro Deli,Retailers - other,185 Oxford Road,Reading,,RG1 7UZ,5,2025-05-24,Reading,5,5,5,-0.9848931,51.455078
European Mini Market,Retailers - supermarkets/hypermarkets,462 Oxford Road,Reading,,RG30 1EE,3,2024-07-13,Reading,10,10,10,-1.0003028,51.457944
Evans Cycles,Retailers - other,Mill Lane,Reading,,RG1 2HN,Exempt,,Reading,,,,,
Events by Nathalie,Other catering premises,,,,,5,2026-01-20,Reading,5,0,0,,
Everest Tandoori Restaurant at Meadway Precinct,Restaurant/Cafe/Canteen,Honey End Lane,Reading,,RG30 4AA,5,2025-09-03,Reading,5,5,5,,
Everyday Express,Retailers - other,260-262 Kentwood Hill Tilehurst,Reading,,RG31 6DR,5,2026-02-26,Reading,5,0,5,-1.0293584,51.4690413
Evians Food,Restaurant/Cafe/Canteen,Huntley Place 1 Flagstaff Road,Reading,,RG2 6AR,5,2026-04-23,Reading,0,0,0,-0.9960362,51.4253658
Exotic Food Market Ltd,Retailers - other,82-84 Whitley Street,Reading,,RG2 0EQ,3,2025-01-31,Reading,10,10,10,-0.9655373,51.4448107
Exotic Superstores,Retailers - other,732 Oxford Road,Reading,,RG30 1EH,4,2024-01-27,Reading,0,10,5,-1.0080155,51.4600417
ExoticEstore,Retailers - supermarkets/hypermarkets,24b Portman Road,Reading,,RG30 1EA,5,2025-11-03,Reading,5,5,0,-0.9980888,51.4611173
Eyre & Elliston,Retailers - other,9c Loverock Road,Reading,,RG30 1DZ,Exempt,,Reading,,,,-0.9925473,51.4604404
Faaji Foods UK,Takeaway/sandwich shop,,,,,AwaitingInspection,,Reading,,,,,
Fab4All,Other catering premises,Unit 16 North Street,Reading,,RG1 7DA,4,2025-05-20,Reading,5,10,5,-0.9801145,51.4576802
Family Shopper,Retailers - supermarkets/hypermarkets,27 School Road Tilehurst,Reading,,RG30 5AR,4,2025-02-12,Reading,5,5,10,-1.0368833,51.4603721
Farmhouse Pizza,Takeaway/sandwich shop,435 Oxford Road,Reading,,RG30 1HD,4,2026-07-01,Reading,5,5,10,-0.997273,51.456956
Fat Twins Reading,Restaurant/Cafe/Canteen,120 London Road,Reading,,RG1 5AY,3,2026-03-06,Reading,10,10,10,-0.9489659,51.4527649
Favourite Chicken,Takeaway/sandwich shop,10 St Marys Butts,Reading,,RG1 2LN,3,2025-04-26,Reading,10,10,10,-0.975304,51.4545988
Fennies Day Nurseries,Other catering premises,Kilnbrook House Rose Kiln Lane,Reading,,RG2 0BY,5,2026-04-23,Reading,0,0,0,-0.9761088,51.4443552
Fidget & Bob,Restaurant/Cafe/Canteen,58-60 Merrick House Whale Avenue,Reading,,RG2 0GX,AwaitingInspection,,Reading,,,,-0.9752376,51.4312104
Fire Thru at 365 Gym,Restaurant/Cafe/Canteen,33 Meadway Precinct Honey End Lane,Reading,,RG30 4AA,1,2026-05-21,Reading,15,10,20,-1.017291,51.449716
Fi's Kitchen,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Five Guys,Restaurant/Cafe/Canteen,Unit R13 The Riverside The Oracle,Reading,,RG1 2AG,5,2026-03-02,Reading,5,0,0,,
Flava Fusionn,Mobile caterer,27 Margaret Close,Reading,,RG2 8PU,5,2025-12-10,Reading,5,5,0,-0.9608624,51.4168313
Flavour Fusion,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Flavour of Mauritius,Other catering premises,143-145 Caversham Road,Reading,,RG1 8AU,5,2025-06-13,Reading,5,5,5,-0.9759525,51.4628442
Fledglings Lodge,Hospitals/Childcare/Caring Premises,51 Armour Hill,Tilehurst,Reading,RG31 6JP,5,2023-10-16,Reading,0,5,0,-1.0377502,51.46501
Flight Club Darts,Pub/bar/nightclub,1 Station Hill Square,Reading,,RG1 1LN,5,2026-05-15,Reading,5,0,5,-0.9735346,51.458119
Flip,Mobile caterer,35 Bolton Drive,Reading,,RG2 9RD,4,2026-04-07,Reading,5,10,5,-0.9523788,51.4057551
Florence House Nursing Home,Hospitals/Childcare/Caring Premises,16-22 Westcote Road,Reading,,RG30 2DE,5,2026-04-20,Reading,5,5,0,,
Fluffy Fluffy Reading at Kings Walk,Other catering premises,19-23 Kings Street,Reading,,RG1 2HG,5,2025-09-03,Reading,5,5,5,,
Food Avenue,Restaurant/Cafe/Canteen,168c Whitley Wood Road,Reading,,RG2 8LQ,5,2025-01-31,Reading,0,5,5,-0.959862,51.4190974
"Foodwise Reading, Food Coach",Hospitals/Childcare/Caring Premises,Northumberland Avenue,Reading,,,5,2024-12-19,Reading,0,0,0,,
Forbury Gardens Day Nursery,Hospitals/Childcare/Caring Premises,Abbots Walk,Reading,,RG1 3HW,5,2025-06-24,Reading,5,0,5,,
Four Seasons Fish & Chips,Takeaway/sandwich shop,268 Kentwood Hill,Tilehurst,Reading,RG31 6DR,3,2025-09-08,Reading,10,10,10,-1.0291676,51.4692105
Fox And Hounds,Pub/bar/nightclub,51 Gosbrook Road,Caversham,Reading,RG4 8BN,3,2026-07-06,Reading,10,10,5,-0.9701409,51.466603
Freddie's Afro Caribbean,Retailers - other,33 Whitley Street,Reading,,RG2 0EG,2,2025-06-17,Reading,15,10,10,-0.965362,51.4455645
Fresh Gurkha Grocery,Retailers - other,253 London Road,Reading,,RG1 3NY,1,2026-06-11,Reading,15,10,20,-0.9465105,51.4537769
Friends Coffee House Battle Block at Royal Berkshire Hospital,Restaurant/Cafe/Canteen,London Road,Reading,,RG1 5AN,5,2026-07-13,Reading,0,0,0,-0.95611545,51.451942
Friend's Pizza & Grill,Restaurant/Cafe/Canteen,229C London Road,Reading,,RG1 3NY,3,2025-12-09,Reading,10,10,10,-0.9477554,51.4534644
Fuel Juice Bar at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,,RG1 2AQ,5,2025-10-23,Reading,5,5,5,-0.97236539,51.45247823
Funky Fries Co.,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Funtastic Kids @ The Ridgeway,School/college/university,The Ridgeway Primary School,Hillbrow,Reading,RG2 8JD,5,2026-02-10,Reading,5,0,5,-0.9512807,51.4277432
Funtastic Kids at Geoffrey Field Junior School,Hospitals/Childcare/Caring Premises,Exbourne Road,Reading,,RG2 8RH,5,2025-11-21,Reading,5,5,5,-0.96143834,51.42185869
Funtastic Kids at Whitley Park Primary and Nursery School,Hospitals/Childcare/Caring Premises,Brixham Road,Reading,,RG2 7RB,5,2025-08-13,Reading,5,5,5,-0.96651269,51.43202683
GAIL's Reading,Restaurant/Cafe/Canteen,134 Broad Street,Reading,,RG1 2BD,5,2024-12-13,Reading,5,0,5,-0.9705015,51.4550423
Garam,Mobile caterer,3 Minster Court Minster Street,Reading,,RG1 2JF,4,2025-10-01,Reading,10,5,5,,
Gather & Gather UK,Restaurant/Cafe/Canteen,41 West Street,Reading,,RG1 1TZ,5,2025-05-19,Reading,5,0,5,-0.9760777,51.4560444
Genting Casino (Reading),Restaurant/Cafe/Canteen,18 Richfield Avenue,Reading,,RG1 8PA,5,2025-12-22,Reading,5,0,5,-0.9830122,51.4639549
Geo Cafe,Restaurant/Cafe/Canteen,10 Prospect Street,Caversham,Reading,RG4 8JG,5,2026-04-21,Reading,5,5,5,-0.972891,51.4678681
Geo-Bakery,Retailers - other,10 Prospect Street,Caversham,Reading,RG4 8JG,5,2024-07-24,Reading,5,5,5,-0.972891,51.4678681
Geoffrey Field Infant & Junior School,School/college/university,Exbourne Road,Reading,Berkshire,RG2 8RH,5,2023-12-04,Reading,5,5,5,-0.96143834,51.42185869
George's Kebab Mobile Van,Mobile caterer,Scours Lane,Tilehurst,Reading Berkshire,,5,2024-05-09,Reading,5,5,5,-1.0125,51.46482585
German Doner Kebab,Takeaway/sandwich shop,106 Friar Street,Reading,,RG1 1EP,4,2025-10-31,Reading,5,10,5,-0.9751047,51.4564315
Get Active Sports,Other catering premises,Lydford Road,Reading,,RG1 5QH,3,2025-03-11,Reading,10,10,10,-0.94965435,51.44675605
Ginger Perkins Artisan Bakery,Other catering premises,,,,,5,2022-03-29,Reading,0,5,5,,
GK,Takeaway/sandwich shop,49 Whitley Street,Reading,,RG2 0EG,4,2025-11-13,Reading,0,10,10,-0.9651104,51.4452386
Global Hospitality Group UK,Other catering premises,Key House Cow Lane,Reading,,RG1 8NA,5,2025-07-21,Reading,0,0,0,-0.9903704,51.4605925
Gloria's Food Hall,Takeaway/sandwich shop,Reading Biscuit Factory 19 Queens Walk,Reading,,RG1 7QE,2,2026-05-28,Reading,15,5,10,,
Go Beanies Play & Learn (Palmer Academy),Other catering premises,70 Northumberland Avenue,Reading,,RG2 7PP,5,2026-03-10,Reading,0,5,5,-0.9639627,51.4393748
Go Beanies Play & Learn (Civitas Academy),Other catering premises,Civitas Academy 90a Great Knolly's Street,Reading,,RG1 7HL,5,2026-03-16,Reading,5,5,0,-0.9820874,51.4582818
Go Beanies Play & Learn (Green Park),Other catering premises,Green Park Village Academy 2 Flagstaff Road,Reading,,RG2 6AX,5,2026-03-11,Reading,5,0,5,-0.995499,51.4256887
Go Fresh Fish,Retailers - other,232 Shinfield Road,Reading,,RG2 8EX,1,2026-05-06,Reading,10,10,20,-0.9463056,51.4283101
Go Sing Chinese Takeaway,Takeaway/sandwich shop,30 Prospect Street Caversham,Reading,,RG4 8JL,5,2025-10-16,Reading,5,5,5,-0.9721006,51.4684456
Golden Bridge,Takeaway/sandwich shop,173 Caversham Road,Reading,,RG1 8BB,3,2025-05-13,Reading,10,10,10,-0.976617,51.4634766
Golden Chef Chinese Takeaway,Takeaway/sandwich shop,72 Briants Avenue,Caversham,Reading,RG4 5BA,2,2025-03-23,Reading,10,15,10,-0.9598005,51.4680582
Golden Rice,Takeaway/sandwich shop,31 Whitley Street,Reading,,RG2 0EG,4,2025-08-15,Reading,5,10,5,-0.96539,51.4456007
Goldilocks Nursery,Hospitals/Childcare/Caring Premises,77 School Road,Tilehurst,Reading,RG31 5AT,5,2025-03-19,Reading,0,5,0,-1.0389717,51.4582581
Good Old Days Hong Kong,Takeaway/sandwich shop,66 George Street,Reading,,RG4 8DH,AwaitingInspection,,Reading,,,,-0.96625,51.4648691
Good One Supermarket,Retailers - other,236 Northumberland Avenue,Reading,,RG2 7QA,5,2023-10-25,Reading,0,5,5,-0.9627342,51.432638
Goodday Home Food,Other catering premises,,,,,3,2026-03-10,Reading,10,5,10,,
Gooi Nara,Restaurant/Cafe/Canteen,39 Whitley Street,Reading,,RG2 0EG,1,2026-06-16,Reading,20,5,10,-0.9651626,51.4454728
Gordon Ramsay Street Burger,Other catering premises,Unit R17B Riverside Level,The Oracle,Reading,RG1 2AG,5,2026-07-03,Reading,5,5,0,,
Gosbrook Local,Retailers - other,228 Gosbrook Road,Caversham,Reading,RG4 8BL,5,2024-11-09,Reading,5,5,5,-0.9658046,51.4661061
Gourmet Eats London,Mobile caterer,272-274 Elgar Road South,Reading,,RG2 0BZ,1,2026-03-11,Reading,10,10,20,-0.971467,51.441545
GPR Food & Wine,Retailers - other,513 Oxford Road,Reading,,RG30 1HF,1,2026-07-07,Reading,10,5,20,-1.00031,51.4576114
Grange Pre School,Hospitals/Childcare/Caring Premises,Circuit Lane,Reading,,RG30 3HD,5,2025-03-26,Reading,0,5,0,-1.00788545,51.44548432
Grape Tree,Retailers - other,64 Broad Street Mall,Reading,,RG1 7QE,1,2026-03-27,Reading,15,15,20,-0.975875,51.4548107
Green Bike Food Company,Takeaway/sandwich shop,Gillette Way,Reading,,RG2 0LR,5,2024-07-13,Reading,0,5,5,-0.9713009,51.43336425
Green Whisk Bakery,Other catering premises,,,,,5,2025-03-28,Reading,0,5,0,,
Greenshaw Learning Trust at John Madejski Academy,Other catering premises,125 Hartland Road,Reading,,RG2 8AF,5,2025-06-13,Reading,5,5,0,-0.9618616,51.4254275
Greggs,Retailers - other,10 Queen Victoria Street,Reading,,RG1 1TG,5,2026-05-26,Reading,0,5,0,-0.9718672,51.4563941
Greggs,Takeaway/sandwich shop,162 Bath Road,Reading,,RG30 2HA,5,2025-04-22,Reading,0,0,0,-1.0207296,51.4443676
Greggs,Takeaway/sandwich shop,203-205 Shinfield Road,Reading,,RG2 8HA,5,2026-04-03,Reading,0,5,5,-0.9455288,51.4283121
Greggs,Retailers - other,38 Market Place,Reading,,RG1 2DE,5,2026-05-27,Reading,5,5,5,-0.9698702,51.4555942
Greggs,Retailers - other,82 Christchurch Road,Reading,,RG2 7AZ,5,2025-09-02,Reading,5,5,5,-0.9551264,51.4426412
Greggs at Broad St Mall,Retailers - other,Broad Street,Reading,,RG1 7QE,5,2024-10-25,Reading,0,5,0,,
Grill Masters,Mobile caterer,26 Abingdon Drive Caversham,Reading,,RG4 6SE,5,2025-05-12,Reading,5,0,5,-0.9607734,51.4841716
Grilla Kitchen,Restaurant/Cafe/Canteen,41 Whitley Street Reading,Reading,,RG2 0EG,AwaitingInspection,,Reading,,,,-0.965236,51.4454105
Grip UK,Restaurant/Cafe/Canteen,Stadium Way,Tilehurst,Reading,RG30 6BX,5,2025-01-19,Reading,5,5,5,,
Grocery Asia,Retailers - supermarkets/hypermarkets,19-20 Meadway Precinct,Reading,,RG30 4AA,4,2026-04-27,Reading,5,10,5,-1.0174498,51.4496903
Grosvenor Casino,Restaurant/Cafe/Canteen,1 Queens Road,Reading,,RG1 4SY,5,2025-01-24,Reading,0,0,0,-0.9680835,51.4537711
Grosvenor Casino,Restaurant/Cafe/Canteen,Rose Kiln Lane,Reading,Berkshire,RG2 0SN,5,2025-09-19,Reading,5,5,5,,
Gulab Dining,Other catering premises,130-134 Wokingham Road,Reading,,RG6 1JL,4,2026-04-28,Reading,5,10,5,-0.938483,51.4493166
Gun Street Garden,Pub/bar/nightclub,5-6 Gun Street,Reading,,RG1 2JR,4,2025-12-12,Reading,5,10,5,-0.9730762,51.453824
Gurungs,Retailers - other,191-193 London Road,Reading,,RG1 3NU,5,2025-08-05,Reading,5,5,5,-0.9493609,51.4531101
Gym Stack,Retailers - other,,,,,AwaitingInspection,,Reading,,,,,
Gymfinity Kids Reading,Restaurant/Cafe/Canteen,Gillette Way,Reading,,RG2 0BS,5,2025-08-15,Reading,0,5,0,-0.96941425,51.43191494
H.K. Stores,Retailers - other,47 Hemdean Road,Caversham,Reading,RG4 7SY,3,2025-03-20,Reading,10,10,10,-0.9737426,51.4690535
Hala Lebanese,Restaurant/Cafe/Canteen,133 Wokingham Road,Reading,,RG6 1LW,5,2025-09-04,Reading,5,5,5,-0.9352807,51.4471745
Hao Chi Oriental,Takeaway/sandwich shop,115 Wokingham Road,Reading,,RG6 1LH,5,2026-05-28,Reading,5,5,5,-0.9363058,51.4482628
Happy Belly,Mobile caterer,,,,,AwaitingInspection,,Reading,,,,,
Happy Health Nutrition Club,Restaurant/Cafe/Canteen,7 Harris Arcade,Reading,,RG1 1DN,4,2024-09-26,Reading,5,10,5,-0.9716049,51.4571831
Happy Panda Café,Restaurant/Cafe/Canteen,80 Christchurch Road,Reading,,RG2 7AZ,5,2026-07-09,Reading,5,5,0,-0.9551977,51.4426688
Harper’s Candylicious Sweets,Importers/Exporters,82 Belmont Road,Reading,,RG30 2UU,5,2024-07-16,Reading,0,0,5,-0.9972528,51.4552473
Harput Kebab,Takeaway/sandwich shop,139 Oxford Road,Reading,,RG1 7UU,5,2026-08-06,Reading,5,5,5,-0.9821065,51.454829
Harrison Catering Services at Blessed Hugh Faringdon School,School/college/university,Fawley Road,Reading,,RG30 3EP,5,2026-01-07,Reading,5,5,5,-1.00568695,51.44549325
Harrison Catering Services at The Heights Primary School,School/college/university,129 Upper Woodcote Road,Caversham,Reading,RG4 7LB,5,2024-11-20,Reading,5,5,5,-0.9962644,51.4769427
Harrison Catering Services Limited at The Wren School,School/college/university,61-63 Bath Road,Reading,,RG30 2BB,4,2025-09-09,Reading,10,5,5,-0.9992605,51.4463534
Haute Dolci,Restaurant/Cafe/Canteen,Unit 15 A Riverside The Oracle,Reading,,RG1 2AG,AwaitingInspection,,Reading,,,,-0.9708972,51.4534452
Herbal Green at Broad St Mall,Retailers - other,Broad Street,Reading,,RG1 7QE,Exempt,,Reading,,,,,
Hevs Premier,Retailers - other,733 Oxford Road,Reading,,RG30 1JA,AwaitingInspection,,Reading,,,,-1.0137559,51.4621852
Hewad Store,Retailers - other,774 Oxford Road,Reading,,RG30 1EL,2,2026-02-25,Reading,10,15,10,-1.009742,51.4607487
Hexham Road Pantry,Other catering premises,Hexham Road Community Centre 1a Bamburg Close,Reading,,RG2 7UD,5,2025-08-13,Reading,0,5,0,-0.9590591,51.4373711
Hey Coffee,Restaurant/Cafe/Canteen,Liebenrood Road,Reading,,RG30 2ND,4,2025-04-27,Reading,10,5,5,-1.00633235,51.4504053
Hey Flash,Mobile caterer,,,,,AwaitingInspection,,Reading,,,,,
Hilton Reading,Hotel/bed & breakfast/guest house,Drake Way,Reading,,RG2 0GH,5,2025-04-25,Reading,0,5,5,-0.9767254,51.43186415
Himalayan Hot Spot,Restaurant/Cafe/Canteen,1 School Road,Tilehurst,Reading,RG31 5AR,2,2025-10-09,Reading,10,15,10,-1.0361537,51.4608427
Hirva Tiffin Service,Other catering premises,,,,,5,2026-07-01,Reading,0,0,0,,
HMV at The Oracle,Retailers - other,Bridge Street,Reading,,RG1 2AH,Exempt,,Reading,,,,,
Holiday Inn Reading South,Hotel/bed & breakfast/guest house,500 Basingstoke Road,Reading,,RG2 0QN,5,2025-08-04,Reading,0,5,5,,
Holland & Barrett at Broad St Mall,Retailers - other,Broad Street,Reading,,RG1 7QE,Exempt,,Reading,,,,,
Holland & Barrett at The Oracle,Retailers - other,Bridge Street,Reading,,RG1 2AH,5,2025-08-12,Reading,0,0,0,,
Holland and Barrett at Tesco Extra,Retailers - other,Napier Road,Reading,,RG1 8DF,5,2025-07-16,Reading,0,0,0,-0.95658182,51.4597152
Hollywood Bowl,Restaurant/Cafe/Canteen,Riverside Level,Oracle Shopping Centre,Reading,RG1 2AG,5,2026-03-30,Reading,0,5,0,-0.9708313,51.4538133
Holroyd Howe at Abbey Gardens,School/college/university,12 Christchurch Gardens,Reading,,RG2 7AH,5,2024-12-04,Reading,0,5,0,-0.9628617,51.4428808
Holroyd Howe at Abbey Junior School,School/college/university,30 Christchurch Road,Reading,IGHT,RG2 7AR,5,2026-05-15,Reading,0,0,5,-0.9611165,51.4437016
Holroyd Howe at The Abbey Senior School,School/college/university,17 Kendrick Road,Reading,Unit R50 Bridge Street,RG1 5DZ,5,2026-04-14,Reading,5,5,5,-0.9627183,51.4485623
Home Bargains,Retailers - supermarkets/hypermarkets,Units 4 & 5 Brunel Retail Park,Reading,,RG2 0HS,5,2025-04-14,Reading,5,5,0,,
Home Bargains at Reading Link Retail Park,Retailers - other,Rose Kiln Lane,Reading,Berkshire,RG2 0SN,5,2023-04-11,Reading,0,0,5,,
Home Cooking,Takeaway/sandwich shop,2 Highgrove Street,Reading,,RG1 5EN,3,2026-01-29,Reading,5,10,10,-0.9658028,51.4464316
Home Group Limited,Hospitals/Childcare/Caring Premises,1 Flagstaff Road,Reading,,RG2 6AR,AwaitingInspection,,Reading,,,,-0.9960362,51.4253658
Homesense,Retailers - other,Forbury Road,Reading,Berkshire,RG1 3JD,Exempt,,Reading,,,,,
Homie's,Takeaway/sandwich shop,2 Cholsey House Moulsford Mews,Reading,,RG30 1AP,5,2026-03-31,Reading,5,5,5,-0.9986204,51.4578667
Honest Burgers,Restaurant/Cafe/Canteen,Unit 2 1-5 King Street,Reading,,RG1 2HE,5,2025-12-18,Reading,0,5,0,,
Honesty Group,Restaurant/Cafe/Canteen,2 Napier Road,Reading,,,5,2025-10-30,Reading,5,5,5,-0.959419,51.4595032
Honey & Ghee,Retailers - other,232 Shinfield Road,Reading,,RG2 8EX,4,2026-05-06,Reading,5,5,10,-0.9463056,51.4283101
Honey Bee Day Care at Tilia House,Hospitals/Childcare/Caring Premises,London Road,Reading,,RG1 3PA,5,2025-10-16,Reading,5,5,5,,
Honeypie Bakery,Other catering premises,,,,,5,2021-03-16,Reading,0,0,0,,
Hong Kong City,Takeaway/sandwich shop,50 Erleigh Road,Reading,,RG1 5NA,3,2026-02-18,Reading,10,10,5,-0.9497758,51.4494541
